1,Product 0,573.76
2,Product 1,500.31
3,Product 2,34.30
4,Product 3,560.59
5,Product 4,132.91
6,Product 5,426.44
7,Product 6,9.98
8,Product 7,35.88
9,Product 8,540.96
10,Product 9,193.63
11,Product 10,588.57
12,Product 11,376.30
13,Product 12,994.08
14,Product 13,563.95
15,Product 14,83.72
16,Product 15,416.85
17,Product 16,398.39
18,Product 17,999.53
19,Product 18,709.46
20,Product 19,150.09
21,Product 20,831.81
22,Product 21,59.06
23,Product 22,789.61
24,Product 23,666.49
25,Product 24,109.31
26,Product 25,821.02
27,Product 26,314.65
28,Product 27,434.39
29,Product 28,566.86
30,Product 29,979.36
31,Product 30,141.39
32,Product 31,936.91
33,Product 32,453.55
34,Product 33,226.89
35,Product 34,358.31
36,Product 35,230.85
37,Product 36,752.13
38,Product 37,917.78
39,Product 38,223.19
40,Product 39,446.84
41,Product 40,835.14
42,Product 41,782.91
43,Product 42,619.69
44,Product 43,610.12
45,Product 44,106.88
46,Product 45,659.87
47,Product 46,175.91
48,Product 47,428.37
49,Product 48,680.92
50,Product 49,794.66
51,Product 50,40.48
52,Product 51,865.31
53,Product 52,198.59
54,Product 53,272.68
55,Product 54,820.29
56,Product 55,398.38
57,Product 56,105.71
58,Product 57,544.10
59,Product 58,349.46
60,Product 59,843.81
61,Product 60,73.00
62,Product 61,822.04
63,Product 62,780.04
64,Product 63,524.28
65,Product 64,770.04
66,Product 65,351.83
67,Product 66,962.53
68,Product 67,351.88
69,Product 68,883.34
70,Product 69,175.37
71,Product 70,218.40
72,Product 71,103.61
73,Product 72,105.99
74,Product 73,47.20
75,Product 74,396.45
76,Product 75,776.58
77,Product 76,819.37
78,Product 77,597.01
79,Product 78,551.24
80,Product 79,426.98
81,Product 80,337.15
82,Product 81,678.19
83,Product 82,684.67
84,Product 83,319.61
85,Product 84,887.07
86,Product 85,93.17
87,Product 86,750.05
88,Product 87,543.88
89,Product 88,968.26
90,Product 89,543.11
91,Product 90,533.43
92,Product 91,487.53
93,Product 92,339.77
94,Product 93,713.45
95,Product 94,98.22
96,Product 95,700.97
97,Product 96,670.50
98,Product 97,876.20
99,Product 98,206.37
100,Product 99,732.94
101,Product 100,811.47
102,Product 101,265.99
103,Product 102,513.67
104,Product 103,472.29
105,Product 104,738.07
106,Product 105,769.12
107,Product 106,376.11
108,Product 107,391.12
109,Product 108,453.23
110,Product 109,153.29
111,Product 110,801.31
112,Product 111,850.96
113,Product 112,541.97
114,Product 113,160.38
115,Product 114,430.84
116,Product 115,306.68
117,Product 116,623.17
118,Product 117,285.77
119,Product 118,448.50
120,Product 119,821.88
121,Product 120,656.61
122,Product 121,974.72
123,Product 122,974.50
124,Product 123,794.73
125,Product 124,931.22
126,Product 125,279.99
127,Product 126,826.81
128,Product 127,185.04
129,Product 128,585.20
130,Product 129,744.49
131,Product 130,508.46
132,Product 131,831.11
133,Product 132,689.03
134,Product 133,398.69
135,Product 134,913.38
136,Product 135,648.84
137,Product 136,259.52
138,Product 137,295.05
139,Product 138,533.36
140,Product 139,616.28
141,Product 140,66.11
142,Product 141,939.58
143,Product 142,895.16
144,Product 143,463.06
145,Product 144,740.05
146,Product 145,326.25
147,Product 146,559.09
148,Product 147,907.22
149,Product 148,502.84
150,Product 149,29.96
151,Product 150,269.35
152,Product 151,110.96
153,Product 152,792.06
154,Product 153,971.97
155,Product 154,761.42
156,Product 155,762.12
157,Product 156,181.11
158,Product 157,34.25
159,Product 158,303.13
160,Product 159,830.07
161,Product 160,263.53
162,Product 161,669.80
163,Product 162,273.33
164,Product 163,592.15
165,Product 164,603.49
166,Product 165,31.28
167,Product 166,966.29
168,Product 167,981.19
169,Product 168,440.72
170,Product 169,922.85
171,Product 170,349.58
172,Product 171,665.00
173,Product 172,581.57
174,Product 173,68.66
175,Product 174,699.76
176,Product 175,535.06
177,Product 176,807.05
178,Product 177,785.78
179,Product 178,892.60
180,Product 179,454.73
181,Product 180,184.43
182,Product 181,150.95
183,Product 182,633.40
184,Product 183,196.41
185,Product 184,881.20
186,Product 185,156.98
187,Product 186,78.01
188,Product 187,482.24
189,Product 188,447.76
190,Product 189,168.91
191,Product 190,116.40
192,Product 191,934.70
193,Product 192,60.15
194,Product 193,209.06
195,Product 194,68.21
196,Product 195,541.26
197,Product 196,894.68
198,Product 197,226.69
199,Product 198,673.54
200,Product 199,941.29
201,Product 200,642.88
202,Product 201,539.60
203,Product 202,52.10
204,Product 203,454.00
205,Product 204,168.93
206,Product 205,74.12
207,Product 206,750.48
208,Product 207,282.37
209,Product 208,460.65
210,Product 209,874.14
211,Product 210,99.34
212,Product 211,751.34
213,Product 212,331.10
214,Product 213,601.04
215,Product 214,861.58
216,Product 215,767.36
217,Product 216,789.55
218,Product 217,403.65
219,Product 218,567.41
220,Product 219,921.78
221,Product 220,618.93
222,Product 221,600.73
223,Product 222,3.30
224,Product 223,802.22
225,Product 224,471.11
